Month,Date,Mumbai,Pune,Thane,Nagpur,Nashik
April,1,179,47,5,12,1
April,2,233,65,25,13,1
April,3,276,87,35,13,1
April,4,377,102,49,14,1
April,5,433,121,70,15,1
April,6,501,141,85,17,1
April,7,590,159,87,20,2
April,8,714,200,93,20,2
April,9,876,200,93,20,2
April,10,993,230,123,24,8
April,11,1182,260,147,29,13
April,12,1399,280,173,34,24
April,13,1641,308,206,39,33
April,14,1857,351,270,44,46
April,15,1997,430,295,66,56
April,16,2174,471,315,67,56
April,17,2186,509,325,69,56
April,18,2369,591,341,69,53
April,19,2825,591,341,69,53
April,20,3133,647,389,69,71
April,21,3552,716,447,79,95
April,22,3784,805,477,100,105
April,23,4306,910,595,100,120
April,24,4548,961,643,101,127
April,25,5049,1030,717,107,131
April,26,5407,1052,738,107,131
April,27,5776,1107,771,121,153
April,28,6000,1174,824,135,195
April,29,6556,1248,943,137,197
April,30,7069,1276,977,139,221
May,1,7812,1316,1016,139,242
May,2,8359,1339,1086,146,262
May,3,8800,1396,1142,152,284
May,4,9310,2018,1238,174,382
May,5,10714,2087,1616,182,463
May,6,10714,2087,1616,182,463
May,7,11394,2129,1889,206,533
May,8,12864,2257,2225,224,595
May,9,12864,2257,2225,224,595
May,10,13739,2679,2448,251,659
May,11,14521,2789,2592,259,696
May,12,14947,2997,2814,268,741
May,13,15727,3161,3065,317,751
May,14,16738,3314,3287,331,807
May,15,17671,3481,3499,334,825
May,16,18555,3647,3834,352,835
May,17,20150,3821,4115,357,851
May,18,21335,4071,4402,375,857
May,19,22726,4223,4614,396,863
May,20,24118,4477,4900,423,868
May,21,25500,4665,5268,437,907
May ,22,27251,4993,5717,460,918
